route_id,service_id,trip_id,direction_id,shape_id
"1","757_87824","757_2269295","1","2280856503"
"1","757_87824","757_2269296","0","3721058664"
"1","757_87824","757_2269297","1","2280856503"
"1","757_87824","757_2269298","0","3721058664"
"1","757_87824","757_2269299","1","2280856503"
"1","757_87824","757_2269300","0","3721058664"
"1","757_87824","757_2269301","1","2280856503"
"1","757_87824","757_2269302","0","3721058664"
"1","757_87824","757_2269303","1","2280856503"
"1","757_87824","757_2269304","0","3721058664"
"1","757_87824","757_2269305","1","2280856503"
"1","757_87824","757_2269306","0","3721058664"
"1","757_87824","757_2269307","1","2280856503"
"1","757_87824","757_2269308","0","3721058664"
"1","757_87824","757_2269309","1","2280856503"
"1","757_87824","757_2269310","0","3721058664"
"1","757_87824","757_2269311","1","2280856503"
"1","757_87824","757_2269312","0","3721058664"
"1","757_87824","757_2269313","1","2280856503"
"1","757_87824","757_2269314","0","3721058664"
"1","757_87824","757_2269315","1","3218993328"
"1","757_96354","757_2617875","0","3721058664"
"1","757_96354","757_2617876","0","3721058664"
"1","757_96354","757_2617877","0","3721058664"
"1","757_96354","757_2617879","0","3721058664"
"1","757_96354","757_2617880","0","3721058664"
"1","757_96354","757_2617881","0","3721058664"
"1","757_96354","757_2617882","0","3721058664"
"1","757_96354","757_2617883","0","3721058664"
"1","757_96354","757_2617884","0","3721058664"
"1","757_96354","757_2617885","0","3721058664"
"1","757_96354","757_2617886","0","3721058664"
"1","757_96354","757_2617887","0","3721058664"
"1","757_96354","757_2617888","1","2280856503"
"1","757_96354","757_2617889","1","2280856503"
"1","757_96354","757_2617890","1","2280856503"
"1","757_96354","757_2617891","1","2280856503"
"1","757_96354","757_2617892","1","2280856503"
"1","757_96354","757_2617893","1","2280856503"
"1","757_96354","757_2617894","1","2280856503"
"1","757_96354","757_2617895","1","2280856503"
"1","757_96354","757_2617896","1","2280856503"
"1","757_96354","757_2617897","1","2280856503"
"1","757_96354","757_2617898","1","2280856503"
"1","757_96354","757_2617899","1","2280856503"
"1","757_96354","757_2617900","1","2280856503"
"1","757_96354","757_2617901","1","3218993328"
"1","757_96354","757_2617902","0","3721058664"
"1","757_96354","757_2617903","0","3721058664"
"1","757_96354","757_2617904","0","3721058664"
"1","757_96354","757_2617905","0","3721058664"
"1","757_96354","757_2617906","0","3721058664"
"1","757_96354","757_2617907","0","3721058664"
"1","757_96354","757_2617908","0","3721058664"
"1","757_96354","757_2617909","0","3721058664"
"1","757_96354","757_2617910","0","3721058664"
"1","757_96354","757_2617911","1","2280856503"
"1","757_96354","757_2617912","1","2280856503"
"1","757_96354","757_2617913","1","2280856503"
"1","757_96354","757_2617914","1","2280856503"
"1","757_96354","757_2617915","1","2280856503"
"1","757_96354","757_2617916","1","2280856503"
"1","757_96354","757_2617917","1","2280856503"
"1","757_96354","757_2617918","0","946057503"
"1","757_96354","757_2617919","0","2641931506"
"1","757_114399","757_3393715","0","3721058664"
"1","757_114399","757_3393716","0","3721058664"
"1","757_114399","757_3393717","0","3721058664"
"1","757_114399","757_3393718","0","3721058664"
"1","757_114399","757_3393719","0","3721058664"
"1","757_114399","757_3393720","0","3721058664"
"1","757_114399","757_3393721","0","3721058664"
"1","757_114399","757_3393722","0","3721058664"
"1","757_114399","757_3393723","0","3721058664"
"1","757_114399","757_3393724","0","3721058664"
"1","757_114399","757_3393725","0","3721058664"
"1","757_114399","757_3393726","0","3721058664"
"1","757_114399","757_3393727","0","3721058664"
"1","757_114399","757_3393728","1","2280856503"
"1","757_114399","757_3393729","1","2280856503"
"1","757_114399","757_3393730","1","2280856503"
"1","757_114399","757_3393731","1","2280856503"
"1","757_114399","757_3393732","1","2280856503"
"1","757_114399","757_3393733","1","2280856503"
"1","757_114399","757_3393734","1","2280856503"
"1","757_114399","757_3393735","1","2280856503"
"1","757_114399","757_3393736","1","2280856503"
"1","757_114399","757_3393737","1","2280856503"
"1","757_114399","757_3393738","1","2280856503"
"1","757_114399","757_3393739","1","2280856503"
"1","757_114399","757_3393740","1","2280856503"
"1","757_114399","757_3393741","0","3721058664"
"1","757_114399","757_3393742","0","3721058664"
"1","757_114399","757_3393743","0","3721058664"
"1","757_114399","757_3393744","0","3721058664"
"1","757_114399","757_3393745","0","3721058664"
"1","757_114399","757_3393746","0","3721058664"
"1","757_114399","757_3393747","0","3721058664"
"1","757_114399","757_3393748","0","3721058664"
"1","757_114399","757_3393749","0","3721058664"
"1","757_114399","757_3393750","0","3721058664"
"1","757_114399","757_3393751","0","3721058664"
"1","757_114399","757_3393752","0","3721058664"
"1","757_114399","757_3393753","1","2280856503"
"1","757_114399","757_3393754","1","2280856503"
"1","757_114399","757_3393755","1","2280856503"
"1","757_114399","757_3393756","1","2280856503"
